iter	Passed	Remaining
563	10561	8164
564	10577	8143
565	10595	8124
566	10611	8103
567	10629	8084
568	10645	8063
569	10668	8047
570	10687	8030
571	10704	8009
572	10723	7991
573	10739	7970
574	10757	7951
575	10773	7930
576	10792	7911
577	10808	7891
578	10825	7871
579	10841	7850
580	10863	7834
581	10880	7814
582	10897	7794
583	10916	7775
584	10932	7755
585	10950	7736
586	10967	7716
587	10984	7696
588	11003	7678
589	11021	7658
590	11036	7638
591	11054	7618
592	11071	7599
593	11090	7580
594	11106	7560
595	11126	7542
596	11142	7521
597	11160	7502
598	11179	7483
599	11199	7466
600	11217	7447
601	11233	7426
602	11251	7407
603	11269	7388
604	11287	7369
605	11303	7348
606	11321	7330
607	11336	7308
608	11360	7293
609	11381	7276
610	11400	7258
611	11421	7241
612	11442	7223
613	11462	7206
614	11484	7189
615	11510	7175
616	11529	7156
617	11550	7139
618	11571	7122
619	11591	7104
620	11612	7087
621	11631	7068
622	11657	7054
623	11677	7036
624	11693	7016
625	11711	6997
626	11727	6976
627	11748	6959
628	11773	6944
629	11795	6927
630	11818	6911
631	11843	6896
632	11866	6880
633	11887	6862
634	11910	6845
635	11929	6827
636	11952	6811
637	11974	6794
638	12002	6780
639	12022	6762
640	12044	6745
641	12071	6731
642	12092	6713
643	12116	6697
644	12140	6682
645	12165	6666
646	12186	6648
647	12208	6631
648	12229	6614
649	12251	6597
650	12273	6580
651	12302	6566
652	12324	6549
653	12347	6532
654	12370	6516
655	12390	6497
656	12414	6481
657	12440	6465
658	12466	6450
659	12486	6432
660	12509	6415
661	12530	6397
662	12549	6378
663	12571	6361
664	12599	6347
665	12618	6328
666	12641	6311
667	12665	6294
668	12684	6276
669	12707	6259
670	12732	6243
671	12752	6224
672	12776	6208
673	12799	6190
674	12817	6171
675	12835	6152
676	12852	6131
677	12869	6112
678	12893	6095
679	12909	6075
680	12927	6055
681	12944	6035
682	12963	6016
683	12979	5996
684	12997	5976
685	13013	5956
686	13033	5938
687	13055	5920
688	13074	5901
689	13093	5882
690	13108	5861
691	13126	5842
692	13143	5822
693	13161	5803
694	13180	5784
695	13198	5764
696	13213	5744
697	13231	5724
698	13247	5704
699	13267	5686
700	13284	5666
701	13300	5646
702	13320	5627
703	13337	5607
704	13356	5589
705	13373	5569
706	13391	5549
707	13408	5529
708	13425	5510
709	13441	5490
710	13459	5470
711	13475	5450
712	13493	5431
713	13509	5411
714	13532	5394
715	13550	5374
716	13567	5355
717	13586	5336
718	13601	5315
719	13619	5296
720	13636	5276
721	13656	5258
722	13671	5237
723	13689	5218
724	13712	5201
725	13734	5183
726	13758	5166
727	13778	5147
728	13793	5127
729	13811	5108
730	13828	5088
731	13847	5069
732	13866	5050
733	13884	5031
734	13899	5011
735	13917	4992
736	13933	4972
737	13951	4952
738	13967	4932
739	13984	4913
740	14000	4893
741	14022	4875
742	14045	4858
743	14061	4838
744	14080	4819
745	14095	4799
746	14113	4780
747	14130	4760
748	14148	4741
749	14171	4723
750	14187	4704
751	14206	4684
752	14222	4665
753	14241	4646
754	14259	4627
755	14277	4608
756	14293	4588
757	14315	4570
758	14330	4550
759	14347	4530
760	14365	4511
761	14381	4491
762	14398	4472
763	14415	4453
764	14434	4434
765	14454	4415
766	14472	4396
767	14488	4376
768	14505	4357
769	14522	4337
770	14539	4318
771	14555	4298
772	14573	4279
773	14589	4260
774	14611	4242
775	14631	4223
776	14647	4203
777	14666	4185
778	14682	4165
779	14700	4146
780	14716	4126
781	14735	4107
782	14757	4089
783	14773	4070
784	14790	4050
785	14807	4031
786	14825	4012
787	14842	3993
788	14860	3974
789	14876	3954
790	14898	3936
791	14914	3916
792	14933	3898
793	14949	3878
794	14967	3859
795	14983	3839
796	15000	3820
797	15022	3802
798	15039	3783
799	15060	3765
800	15076	3745
801	15095	3726
802	15113	3707
803	15131	3688
804	15146	3669
805	15165	3650
806	15180	3630
807	15205	3613
808	15224	3594
809	15241	3575
810	15259	3556
811	15275	3536
812	15293	3517
813	15309	3498
814	15328	3479
815	15351	3461
816	15368	3442
817	15386	3423
818	15403	3404
819	15423	3385
820	15439	3366
821	15459	3347
822	15475	3328
823	15497	3310
824	15514	3291
825	15532	3271
826	15550	3253
827	15569	3234
828	15588	3215
829	15604	3196
830	15623	3177
831	15640	3158
832	15657	3139
833	15674	3119
834	15696	3101
835	15716	3083
836	15733	3064
837	15752	3045
838	15768	3025
839	15787	3007
840	15803	2987
841	15827	2969
842	15853	2952
843	15872	2933
844	15891	2914
845	15905	2895
846	15924	2876
847	15942	2857
848	15959	2838
849	15981	2820
850	16000	2801
851	16018	2782
852	16035	2763
853	16054	2744
854	16075	2726
855	16093	2707
856	16112	2688
857	16129	2669
858	16147	2650
859	16164	2631
860	16187	2613
861	16204	2594
862	16222	2575
863	16242	2556
864	16258	2537
865	16277	2518
866	16294	2499
867	16313	2480
868	16337	2462
869	16354	2443
870	16373	2425
871	16390	2405
872	16409	2387
873	16426	2368
874	16444	2349
875	16461	2330
876	16484	2311
877	16502	2293
878	16519	2274
879	16538	2255
880	16555	2236
881	16574	2217
882	16590	2198
883	16610	2179
884	16629	2160
885	16647	2141
886	16665	2123
887	16682	2104
888	16701	2085
889	16718	2066
890	16737	2047
891	16754	2028
892	16778	2010
893	16796	1991
894	16813	1972
895	16833	1953
896	16849	1934
897	16869	1916
898	16885	1897
899	16904	1878
900	16926	1859
901	16943	1840
902	16962	1822
903	16980	1803
904	17001	1784
905	17018	1765
906	17036	1746
907	17053	1727
908	17078	1709
909	17097	1691
910	17115	1672
911	17133	1653
912	17150	1634
913	17168	1615
914	17184	1596
915	17201	1577
916	17225	1559
917	17242	1540
918	17261	1521
919	17279	1502
920	17298	1483
921	17314	1464
922	17331	1445
923	17347	1426
924	17371	1408
925	17389	1389
926	17406	1370
927	17425	1351
928	17442	1333
929	17460	1314
930	17477	1295
931	17495	1276
932	17517	1257
933	17535	1239
934	17553	1220
935	17570	1201
936	17590	1182
937	17606	1163
938	17625	1144
939	17641	1126
940	17662	1107
941	17678	1088
942	17696	1069
943	17715	1050
944	17732	1032
945	17750	1013
946	17767	994
947	17786	975
948	17806	956
949	17824	938
950	17841	919
951	17858	900
952	17874	881
953	17892	862
954	17909	843
955	17927	825
956	17941	806
957	17964	787
958	17985	768
959	18001	750
960	18020	731
961	18036	712
962	18055	693
963	18073	674
964	18094	656
965	18115	637
966	18132	618
967	18151	600
968	18167	581
969	18185	562
970	18202	543
971	18220	524
972	18236	506
973	18260	487
974	18280	468
975	18297	449
976	18316	431
977	18332	412
978	18350	393
979	18367	374
980	18385	356
981	18408	337
982	18425	318
983	18443	299
984	18459	281
985	18478	262
986	18495	243
987	18513	224
988	18530	206
989	18552	187
990	18568	168
991	18586	149
992	18605	131
993	18621	112
994	18640	93
995	18657	74
996	18676	56
997	18744	37
998	18788	18
999	18845	0
